Date,Close,Volume,Open,High,Low,Company
8/19/24,0.04,49500,0.04,$0.04 ,$0.03 ,CPCPF
8/16/24,0.04,10000,0.04,$0.04 ,$0.04 ,CPCPF
8/15/24,0.03,N/A,0.03,$0.03 ,$0.03 ,CPCPF
8/14/24,0.03,165000,0.04,$0.04 ,$0.03 ,CPCPF
8/13/24,0.03,171500,0.04,$0.04 ,$0.03 ,CPCPF
8/12/24,0.04,538000,0.04,$0.04 ,$0.03 ,CPCPF
8/9/24,0.03,261500,0.03,$0.04 ,$0.03 ,CPCPF
8/8/24,0.03,N/A,0.03,$0.03 ,$0.03 ,CPCPF
8/7/24,0.03,N/A,0.03,$0.03 ,$0.03 ,CPCPF
8/6/24,0.03,6100,0.03,$0.04 ,$0.03 ,CPCPF
8/5/24,0.03,3025,0.03,$0.03 ,$0.03 ,CPCPF
8/2/24,0.03,115780,0.03,$0.03 ,$0.03 ,CPCPF
8/1/24,0.04,134000,0.04,$0.04 ,$0.03 ,CPCPF
7/31/24,0.04,N/A,0.04,$0.04 ,$0.04 ,CPCPF
7/30/24,0.04,41050,0.04,$0.04 ,$0.04 ,CPCPF
7/29/24,0.04,95000,0.04,$0.04 ,$0.04 ,CPCPF
7/26/24,0.04,165600,0.04,$0.05 ,$0.04 ,CPCPF
7/25/24,0.04,202450,0.05,$0.05 ,$0.04 ,CPCPF
7/24/24,0.05,293250,0.07,$0.07 ,$0.04 ,CPCPF
7/23/24,0.05,15030,0.04,$0.07 ,$0.04 ,CPCPF
7/22/24,0.04,328000,0.04,$0.06 ,$0.04 ,CPCPF
7/19/24,0.04,20000,0.04,$0.04 ,$0.04 ,CPCPF
7/18/24,0.04,378300,0.05,$0.05 ,$0.04 ,CPCPF
7/17/24,0.04,186250,0.04,$0.05 ,$0.04 ,CPCPF
7/16/24,0.05,657950,0.06,$0.07 ,$0.04 ,CPCPF
7/15/24,0.04,467000,0.04,$0.14 ,$0.04 ,CPCPF
7/12/24,0.05,235000,0.07,$0.07 ,$0.04 ,CPCPF
7/11/24,0.05,369000,0.04,$0.07 ,$0.04 ,CPCPF
7/10/24,0.04,176500,0.04,$0.06 ,$0.04 ,CPCPF
7/9/24,0.04,N/A,0.04,$0.04 ,$0.04 ,CPCPF
7/8/24,0.04,65030,0.04,$0.11 ,$0.04 ,CPCPF
7/5/24,0.05,76250,0.04,$0.06 ,$0.04 ,CPCPF
7/3/24,0.07,262050,0.04,$0.11 ,$0.04 ,CPCPF
7/2/24,0.05,110500,0.05,$0.05 ,$0.04 ,CPCPF
7/1/24,0.11,N/A,0.11,$0.11 ,$0.11 ,CPCPF
6/28/24,0.11,N/A,0.11,$0.11 ,$0.11 ,CPCPF
6/27/24,0.11,11500,0.11,$0.11 ,$0.04 ,CPCPF
6/26/24,0.09,31006,0.09,$0.09 ,$0.04 ,CPCPF
6/25/24,0.03,42500,0.05,$0.05 ,$0.02 ,CPCPF
6/24/24,0.06,N/A,0.06,$0.06 ,$0.06 ,CPCPF
6/21/24,0.06,8120,0.05,$0.06 ,$0.05 ,CPCPF
6/20/24,0.05,N/A,0.05,$0.05 ,$0.05 ,CPCPF
