Date,Close,Volume,Open,High,Low,Company
8/30/24,143.12,1833474,142.19,$143.52 ,$141.06 ,AWK
8/29/24,141.82,811314,141.86,$142.41 ,$140.73 ,AWK
8/28/24,141.77,983117,140.83,$143.34 ,$139.81 ,AWK
8/27/24,140.17,553083,140.51,$141.72 ,$139.69 ,AWK
8/26/24,141.06,418788,141.2,$142.25 ,$140.51 ,AWK
8/23/24,140.42,521426,140.42,$141.15 ,$139.55 ,AWK
8/22/24,140.02,771941,140.67,$141.15 ,$138.89 ,AWK
8/21/24,140.77,632910,141.09,$141.39 ,$140.03 ,AWK
8/20/24,141.27,520577,141.73,$142.11 ,$140.95 ,AWK
8/19/24,141.57,457857,141.17,$142.07 ,$141.07 ,AWK
8/16/24,140.98,643659,142.17,$142.70 ,$140.65 ,AWK
8/15/24,142.03,883670,141.29,$143.00 ,$140.59 ,AWK
8/14/24,141.67,562395,141,$142.80 ,$140.17 ,AWK
8/13/24,141.39,873327,142.47,$142.72 ,$141.21 ,AWK
8/12/24,142.56,676711,142.11,$142.78 ,$141.09 ,AWK
8/9/24,142.28,1057111,144.85,$145.01 ,$140.27 ,AWK
8/8/24,144.71,1188272,143.43,$146.59 ,$143.16 ,AWK
8/7/24,143.79,797593,143.89,$146.40 ,$143.63 ,AWK
8/6/24,143.6,1132177,144.15,$145.65 ,$142.95 ,AWK
8/5/24,142.72,1299229,148.99,$149.00 ,$142.70 ,AWK
8/2/24,147.35,1210560,147.08,$148.16 ,$144.03 ,AWK
8/1/24,144.5,1109124,142.99,$145.47 ,$142.13 ,AWK
7/31/24,142.36,1123995,141.68,$142.99 ,$141.35 ,AWK
7/30/24,143.67,848283,141.43,$143.92 ,$141.43 ,AWK
7/29/24,141.36,748286,141.99,$142.00 ,$139.90 ,AWK
7/26/24,141.71,645036,141.09,$142.36 ,$140.37 ,AWK
7/25/24,140.1,1009077,143,$144.30 ,$139.30 ,AWK
7/24/24,142.4,987140,141.11,$143.41 ,$140.74 ,AWK
7/23/24,140.49,573633,141.3,$141.81 ,$140.24 ,AWK
7/22/24,141.8,545873,140.91,$142.25 ,$140.55 ,AWK
7/19/24,141.16,856018,141.5,$142.11 ,$140.37 ,AWK
7/18/24,141.35,835243,141.74,$144.26 ,$140.52 ,AWK
7/17/24,142.53,1190632,139.57,$143.46 ,$139.08 ,AWK
7/16/24,139.08,670059,137.25,$139.22 ,$136.82 ,AWK
7/15/24,136.33,794673,138.25,$138.56 ,$136.23 ,AWK
7/12/24,139.08,1207417,136.95,$140.75 ,$136.75 ,AWK
7/11/24,136.22,1251035,133.46,$137.22 ,$133.24 ,AWK
7/10/24,132.23,681957,131.24,$132.45 ,$130.86 ,AWK
7/9/24,130.72,698189,129.54,$131.31 ,$128.87 ,AWK
7/8/24,129.92,874614,130.35,$130.81 ,$129.67 ,AWK
7/5/24,130.01,713906,128.63,$130.18 ,$127.21 ,AWK
7/3/24,127.96,402683,128.6,$129.88 ,$127.85 ,AWK
7/2/24,128.46,665363,128.08,$129.80 ,$127.80 ,AWK
7/1/24,127.76,767267,129.48,$130.96 ,$127.20 ,AWK
6/28/24,129.16,1201891,129.75,$129.92 ,$128.27 ,AWK
6/27/24,129.27,662054,129.3,$129.47 ,$127.98 ,AWK
6/26/24,129.58,691111,128.39,$129.75 ,$128.13 ,AWK
6/25/24,129.37,782369,132.3,$132.35 ,$129.22 ,AWK
6/24/24,132.18,802053,130.83,$133.35 ,$130.69 ,AWK
6/21/24,130.54,1960281,130.28,$131.69 ,$129.46 ,AWK
6/20/24,130.26,1061582,130.5,$131.00 ,$129.45 ,AWK
