Date,Close,Volume,Open,High,Low,Company
10/22/24,22.9,2671,22.89,22.9099,22.7,COAL
10/21/24,22.6092,783,22.52,22.6092,22.52,COAL
10/18/24,22.8737,2423,22.91,23,22.7801,COAL
10/17/24,22.9113,1456,22.96,23.05,22.9,COAL
10/16/24,23.408,1869,23.18,23.4287,23.18,COAL
10/15/24,23.329,351,23.57,23.57,23.329,COAL
10/14/24,23.6641,1524,26.07,26.07,23.54,COAL
10/11/24,23.6989,5467,24.4,24.4,23.654,COAL
10/10/24,23.4546,3840,23.3,23.5,23.3,COAL
10/9/24,23.05,1395,22.86,23.05,22.86,COAL
10/8/24,23.1804,6785,23.34,23.34,22.98,COAL
10/7/24,23.91,2514,24,24,23.74,COAL
10/4/24,23.5246,1516,23.35,23.57,23.35,COAL
10/3/24,23.2501,643,23.2015,23.2501,23.2,COAL
10/2/24,23.5027,1786,23.63,23.6499,23.43,COAL
10/1/24,23.59,5859,23.57,23.72,23.47,COAL
9/30/24,23.7891,16899,23.91,23.91,23.54,COAL
9/27/24,23.5495,2898,23.68,23.6975,23.5495,COAL
9/26/24,23.1949,2450,23.01,23.2668,23.01,COAL
9/25/24,22.3763,1310,22.45,22.45,22.3763,COAL
9/24/24,22.3288,4181,22.01,22.3865,22.01,COAL
9/23/24,21.46,2884,21.45,21.5623,21.446,COAL
9/20/24,21.149,11796,21.06,21.28,21.0557,COAL
9/19/24,21.21,8932,20.99,21.21,20.99,COAL
9/18/24,20.5452,2277,20.6494,20.76,20.54,COAL
9/17/24,20.505,5044,20.59,20.76,20.505,COAL
9/16/24,20.6393,4394,20.635,20.69,20.56,COAL
9/13/24,20.6256,261,20.6301,20.6301,20.6256,COAL
9/12/24,20.2544,926,20.27,20.35,20.2544,COAL
9/11/24,19.707,3601,19.62,19.707,19.21,COAL
9/10/24,19.6007,3333,19.7397,19.77,19.54,COAL
9/9/24,19.7981,2833,19.88,19.97,19.71,COAL
9/6/24,19.7,9212,20.38,20.38,19.7,COAL
9/5/24,20.3618,25315,20.66,20.66,20.3,COAL
9/4/24,20.7728,2292,20.93,20.93,20.7728,COAL
9/3/24,21.2262,8976,23.61,23.61,21.008,COAL
8/30/24,22.0641,1762,22.02,22.08,21.96,COAL
8/29/24,21.9852,1543,21.97,22.1192,21.97,COAL
8/28/24,21.8105,2511,21.84,21.85,21.6672,COAL
8/27/24,21.9651,3123,21.83,21.9651,21.69,COAL
8/26/24,21.918,5679,22.14,22.149,21.918,COAL
8/23/24,22.105,9734,21.98,22.17,21.9,COAL
8/22/24,21.9772,4262,22.4,22.4,21.9772,COAL
8/21/24,22.2405,7583,22.19,22.405,22.11,COAL
8/20/24,22,3296,22.82,22.82,22,COAL
8/19/24,22.8817,3231,22.73,22.9892,22.73,COAL
8/16/24,22.7369,353,22.6725,22.7369,22.6725,COAL
8/15/24,22.4785,3487,22.37,22.55,22.31,COAL
8/14/24,22.5797,2375,22.8,22.8,22.41,COAL
8/13/24,23.2721,1368,22.96,23.31,22.96,COAL
8/12/24,22.9958,6166,23.49,23.49,22.92,COAL
8/9/24,22.9128,3177,22.788,22.9128,22.788,COAL
8/8/24,22.652,2765,22.61,22.6873,22.41,COAL
8/7/24,22.3639,1558,22.2301,22.39,22.2301,COAL
8/6/24,22.3124,4091,22.45,22.46,22.2,COAL
8/5/24,22.2204,6388,22.77,22.77,21.56,COAL
8/2/24,23.152,4468,23.05,23.17,22.9001,COAL
8/1/24,23.5783,2551,24.05,24.05,23.5,COAL
7/31/24,24.3222,1316,24.21,24.46,24.1,COAL
7/30/24,23.6964,1787,23.91,23.91,23.61,COAL
7/29/24,23.9252,1995,24.11,24.268,23.9,COAL
7/26/24,24.143,1034,24.045,24.143,24.045,COAL
7/25/24,23.9152,9622,23.71,24.05,23.5,COAL
7/24/24,24.0601,5284,24.29,24.29,24.0601,COAL
7/23/24,24.2934,2945,24.36,24.36,24.0101,COAL
7/22/24,24.5358,7346,24.44,24.6299,24.33,COAL
7/19/24,24.54,5110,24.7,24.7,24.34,COAL
7/18/24,25.041,5599,25.299,25.36,25,COAL
7/17/24,25.3634,4487,25.69,25.72,25.28,COAL
7/16/24,25.8861,2770,25.68,25.8861,25.56,COAL
7/15/24,25.93,4261,25.83,26.03,25.79,COAL
7/12/24,25.75,1820,25.7101,25.8304,25.71,COAL
7/11/24,25.4609,21952,25.27,25.52,25.27,COAL
7/10/24,25.46,3599,25.5,25.5,25.3301,COAL
7/9/24,25.6462,2206,25.61,25.82,25.61,COAL
7/8/24,25.7162,5693,25.76,25.98,25.69,COAL
7/5/24,25.7391,6087,25.99,26.09,25.63,COAL
7/3/24,25.9554,4150,25.87,26.25,25.87,COAL
7/2/24,25.4139,4079,25.57,25.598,25.19,COAL
7/1/24,25.32,15146,24.57,25.37,24.57,COAL
6/28/24,23.82,3984,23.67,23.91,23.67,COAL
6/27/24,23.45,2658,23.6,23.6,23.37,COAL
6/26/24,23.3724,211,23.275,23.3724,23.275,COAL
6/25/24,23.2848,4202,23.45,23.45,23.2848,COAL
6/24/24,23.65,531,23.65,23.65,23.65,COAL
6/21/24,23.5353,2477,23.58,23.61,23.45,COAL
6/20/24,23.76,1919,23.8038,23.89,23.76,COAL
